Title,Author,Score,Ratings,Shelvings,Published
The Glass Castle,Jeannette Walls,4.31,1316793,2337631,2005
Saville,David Storey,3.51,1004,4835,1976
Captains of the Civil War: A Chronicle of the Blue and the Gray,William Charles Henry Wood,3.4,73,239,1921
"Minx (The Splendid Trilogy, #3)",Julia Quinn,3.85,19482,28098,1996
Decline and Fall,Evelyn Waugh,3.83,14449,21865,1928
Letter to My Daughter,Maya Angelou,4.09,31179,76780,1987
"The Stars are Dying (Nytefall, #1)",C.C. Peñaranda,3.52,8532,79891,2023
"Rat Queens, Vol. 1: Sass & Sorcery",Kurtis J. Wiebe,4.08,44814,88907,2014
"The Engines of God (The Academy, #1)",Jack McDevitt,3.83,9690,17385,1994
The Vulture Is a Patient Bird,James Hadley Chase,3.96,1040,3393,1969
If He Hollers Let Him Go,Chester Himes,3.96,2397,6976,1945
The Dark Side of the Sun,Terry Pratchett,3.64,10133,16627,1976
The White Disease,Karel Čapek,4.24,6732,5292,1936
O Pioneers!,Willa Cather,3.89,53929,82184,1913
"Sleet Kitten (Sleet, #1)",S.J. Tilly,3.63,26387,24058,2023
The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,Shawn Achor,4.14,39159,97646,2010
The Dolls' House,Rumer Godden,4.05,1957,3298,1947
The Secret Garden,Frances Hodgson Burnett,4.16,553861,1573362,1911
1857: The Real Story Of The Great Uprising,Vishnubhat Godse,3.98,301,687,1907
Our Friends from Frolix 8,Philip K. Dick,3.57,3287,4632,1970
The Mystery of the Yellow Room (Joseph Rouletabille #1),Gaston Leroux,3.67,12021,16182,1907
She Is a Haunting,Trang Thanh Tran,3.4,7197,67630,2023
The Wedding Party,L.R.  Jones,3.72,2348,14206,2024
"The Burning Maze (The Trials of Apollo, #3)",Rick Riordan,4.29,91564,192097,2018
"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,3.84,56231,101830,1923
All Your Perfects,Colleen Hoover,4.04,584588,974295,2018
The Hairy Ape,Eugene O'Neill,3.44,2930,4079,1922
The Spark (The 'Sixties),Edith Wharton,3.48,85,182,1924
"Necessary Lies (Necessary Lies, #1)",Diane Chamberlain,4.29,75012,143155,2013
My Father's Glory & My Mother's Castle: Marcel Pagnol's Memories of Childhood,Marcel Pagnol,4.27,996,2260,1957
Island of Bali,Miguel Covarrubias,4.17,146,577,1937
Single All the Way,Kate  Watson,3.88,4241,10409,2023
The Girl at the Lion d'Or,Sebastian Faulks,3.59,7212,12711,1989
The Blue Lagoon,Henry de Vere Stacpoole,3.61,2471,4066,1908
"Kushiel's Avatar (Phèdre's Trilogy, #3)",Jacqueline Carey,4.37,36423,46183,2003
Nationalism,Rabindranath Tagore,4.07,2396,4727,1917
"Without Fail (Jack Reacher, #6)",Lee Child,4.16,106019,125208,2002
Üvercinka,Cemal Süreya,3.94,1277,2210,1958
The Littlest Angel,Charles Tazewell,4.28,6156,7678,1946
"The Decagon House Murders (House Murders, #1)",Yukito Ayatsuji,3.82,13157,28028,1987
Red Phoenix (Red Phoenix #1),Larry Bond,4.04,14202,16403,1989
"A Killer's Mind (Zoe Bentley Mystery, #1)",Mike Omer,4.21,56211,101391,2018
The Tanners,Robert Walser,4.04,1605,4029,1907
The Confession,John Grisham,3.84,54421,90405,2010
Of Love and Shadows,Isabel Allende,3.99,33254,43551,1984
"Ranma ½, Vol. 1 (Ranma ½ (US 2nd), #1)",Rumiko Takahashi,4.17,31281,43172,1988
The Basil and Josephine Stories,F. Scott Fitzgerald,3.95,835,1670,1928
The Maimed,Hermann Ungar,3.87,799,2316,1922
Funnybones,Janet Ahlberg,4.25,4407,6343,1980
The Bobbsey Twins' Visit to the Great West,Laura Lee Hope,3.82,276,278,1920
Check & Mate,Ali Hazelwood,4.01,168348,464077,2023
Arab Seafaring: In the Indian Ocean in Ancient and Early Medieval Times (Expanded Edition),George F. Hourani,3.56,52,184,1909
An American Dream,Norman Mailer,3.44,3838,6989,1965
Hijab Butch Blues,Lamya H.,4.48,8735,49548,2023
As You Walk On By,Julian Winters,3.97,1434,16622,2023
Vita Sexualis,Ōgai Mori,3.37,861,2801,1909
The Book of Sirach,Anonymous,4.13,135,489,1927
Tell Me Three Things,Julie Buxbaum,4.02,83789,185057,2016
The Creative Mind,Henri Bergson,4.06,313,1965,1934
Wasp,Eric Frank Russell,4.06,2356,3865,1957
"Kisscut (Grant County, #2)",Karin Slaughter,4.08,56126,72537,2002
Dulce et Decorum Est,Wilfred Owen,4.35,576,871,1917
Perfume from Provence,Winifred Fortescue,3.6,248,482,1935
The Victim,Saul Bellow,3.55,2184,4825,1947
